,Token,Distance,Model,Color,Price,Motor,Body,Structure,Insurance
0,AZ-1fYag,۸۳٬۰۰۰,۱۳۹۷,خاکستری,۳۸۸٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۱ ماه
1,AZ-1rcG1,۱۶۰٬۰۰۰,۱۳۸۸,سفید,۲۷۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
2,AZ-5PN-P,۱۶۰٬۰۰۰,۱۳۹۶,سفید,۳۵۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۲ ماه
3,AZ-5P_R6,۶۰٬۰۰۰,۱۳۸۳,خاکستری,۲۴۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,
4,AZ-5_3Yv,۲۵۰٬۰۰۰,۱۳۸۳,تیتانیوم,۱۸۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۸ ماه
5,AZ-5_sp9,۱۳۰٬۰۰۰,۱۳۹۶,مشکی,۳۷۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۱ ناحیه,سالم و پلمپ,۶ ماه
6,AZ-5c5Zy,۹۰٬۰۰۰,۱۳۹۵,سفید,۳۵۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
7,AZ-5daTR,۲۶۷٬۰۰۰,۱۳۸۵,خاکستری,۲۳۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۱ ماه
8,AZ-5fw28,۲۰۵٬۰۰۰,۱۳۸۱,سفید,۳۲۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۶ ماه
9,AZ-5u8ag,۶۴٬۰۰۰,۱۳۹۹,سفید,۴۳۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۹ ماه
10,AZ-5uNgl,۱۰۰٬۰۰۰,۱۳۹۸,سفید,۴۳۳٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۵ ماه
11,AZ-99GjF,۲۶۰٬۰۰۰,۱۳۸۴,نقره‌ای,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۲ ماه
12,AZ-9MLUS,۴۰۰٬۰۰۰,۱۳۸۶,خاکستری,۲۶۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۱۰ ماه
13,AZ-9_xDf,۳۷۰٬۰۰۰,۱۳۸۷,قهوه‌ای,۲۳۸٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۶ ماه
14,AZ-9drji,۹۰٬۰۰۰,۱۳۹۷,سفید صدفی,۴۰۳٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۷ ماه
15,AZ-9k8DM,۲۶۰٬۰۰۰,۱۳۹۰,سفید,۲۴۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۱۰ ماه
16,AZ-9u1_J,۱۰۰٬۰۰۰,۱۳۹۷,سفید,۴۱۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی,سالم و پلمپ,۹ ماه
17,AZ-9uPCU,۱٬۱۱۱,۱۳۸۱,مشکی,۲۱۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۸ ماه
18,AZ-B-lHg,۲۲۰٬۰۰۰,۱۳۸۸,سفید,۲۷۵٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
19,AZ-BRSSX,۱۰۰٬۰۰۰,۱۳۸۲,بژ,۱۵۳٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۸ ماه
20,AZ-B_8qt,۱۵۰٬۰۰۰,۱۳۸۹,سفید,۲۸۰٬۰۰۰٬۰۰۰ تومان,سالم,رنگ‌شدگی، در ۲ ناحیه,سالم و پلمپ,
21,AZ-Bfx3T,۲۶۷٬۰۰۰,۱۳۸۲,نقره‌ای,۲۲۰٬۰۰۰٬۰۰۰ تومان,سالم,خط و خش جزیی,سالم و پلمپ,۳ ماه
22,AZ-FhMfM,۳۴۵٬۰۰۰,۱۳۸۴,خاکستری,۲۰۵٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۶ ماه
23,AZ-FzGi-,۲۴۰٬۰۰۰,۱۳۸۱,مشکی,۱۹۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱ ماه
24,AZ-JMVcx,۲۰۰٬۰۰۰,۱۳۸۳,سفید,۱۸۰٬۰۰۰٬۰۰۰ تومان,سالم,دوررنگ,سالم و پلمپ,۱۰ ماه
25,AZ-JyHkq,۲۷۰٬۰۰۰,۱۳۸۷,سفید,۲۲۵٬۰۰۰٬۰۰۰ تومان,,رنگ‌شدگی,سالم و پلمپ,
26,AZ-N-v5T,۶٬۲۰۰,۱۴۰۱,نقره‌ای,۴۸۰٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۲ ماه
27,AZ-NvJ2a,۱۳۰٬۰۰۰,۱۳۹۷,خاکستری,۴۲۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۱۰ ماه
28,AZ-NxF3Y,۷٬۰۰۰,۱۴۰۰,خاکستری,۴۶۵٬۰۰۰٬۰۰۰ تومان,سالم,سالم و بی‌خط و خش,سالم و پلمپ,۴ ماه
